                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.91742,                0.33579,                0.77439,                0.98499,                 0.9737,                0.98721,                 0.7215,                 1.1091,                 0.3297,                0.77133,             0.00075582,             0.00075582,             0.00075582
                     58,                0.92816,                0.33627,                0.77484,                0.98318,                0.97634,                0.98797,                0.72425,                 1.1054,                0.32298,                0.76712,             0.00073925,             0.00073925,             0.00073925
                     59,                0.92156,                0.33497,                0.77368,                0.98117,                0.97248,                0.98725,                0.73697,                 1.1003,                0.32104,                0.76432,             0.00072268,             0.00072268,             0.00072268
                     60,                0.89968,                0.32834,                0.76897,                0.97942,                0.97593,                0.98737,                0.72967,                 1.0923,                0.31339,                0.76529,             0.00070612,             0.00070612,             0.00070612
                     61,                0.90507,                 0.3278,                0.77213,                0.98017,                0.97921,                0.98628,                0.72738,                 1.1171,                0.31646,                0.76679,             0.00068955,             0.00068955,             0.00068955
                     62,                0.89381,                0.32482,                 0.7678,                0.98348,                0.97304,                0.98869,                0.73443,                 1.0866,                0.31764,                0.76129,             0.00067298,             0.00067298,             0.00067298
                     63,                0.88846,                0.32313,                0.76528,                 0.9842,                0.97926,                0.98789,                 0.7305,                 1.1076,                0.31629,                0.76831,             0.00065641,             0.00065641,             0.00065641
                     64,                0.88741,                0.32465,                0.76632,                0.98135,                0.97451,                0.98792,                0.72971,                 1.1057,                0.31375,                0.76897,             0.00063985,             0.00063985,             0.00063985
                     65,                0.89475,                 0.3228,                0.76544,                0.98715,                0.97248,                0.98915,                0.72619,                 1.1121,                0.31655,                0.76816,             0.00062328,             0.00062328,             0.00062328
                     66,                0.88675,                0.32237,                0.76611,                0.98337,                0.97435,                0.98857,                0.73087,                 1.1043,                0.31185,                0.76631,             0.00060671,             0.00060671,             0.00060671
                     67,                0.88147,                0.31999,                0.76641,                0.97629,                0.97826,                0.98848,                0.72916,                 1.1198,                 0.3207,                0.77081,             0.00059015,             0.00059015,             0.00059015
                     68,                0.86723,                0.31369,                0.76137,                0.97918,                0.98031,                0.98716,                0.72317,                 1.1349,                0.31829,                0.77361,             0.00057358,             0.00057358,             0.00057358
                     69,                0.86477,                0.31311,                0.76086,                0.98597,                0.97489,                0.98585,                0.72632,                 1.0974,                0.31336,                0.76866,             0.00055701,             0.00055701,             0.00055701
                     70,                 0.8693,                0.31457,                0.76437,                 0.9827,                0.97648,                0.98729,                0.73466,                 1.0976,                0.31448,                0.76403,             0.00054045,             0.00054045,             0.00054045
                     71,                0.86109,                0.31268,                 0.7593,                0.98437,                0.97073,                0.98776,                0.73459,                 1.1108,                0.31146,                0.76656,             0.00052388,             0.00052388,             0.00052388
                     72,                0.86016,                0.31111,                0.75993,                0.98277,                0.97501,                0.98677,                0.73339,                 1.0866,                0.31078,                 0.7642,             0.00050731,             0.00050731,             0.00050731
                     73,                0.85808,                0.31069,                0.75852,                 0.9807,                0.98111,                0.98887,                0.73109,                 1.1135,                0.31205,                0.76642,             0.00049074,             0.00049074,             0.00049074
                     74,                0.84705,                0.30648,                 0.7551,                0.97718,                0.97797,                0.98596,                0.73131,                 1.0977,                0.30795,                0.76685,             0.00047418,             0.00047418,             0.00047418
                     75,                0.85428,                0.30612,                0.75692,                 0.9799,                0.98135,                  0.987,                0.73433,                 1.0917,                0.30618,                0.76464,             0.00045761,             0.00045761,             0.00045761
                     76,                0.84153,                0.30625,                0.75547,                0.97965,                0.98042,                0.98682,                0.72702,                 1.1134,                0.30652,                0.76903,             0.00044104,             0.00044104,             0.00044104
                     77,                0.83898,                0.30372,                0.75543,                 0.9833,                0.97505,                0.98606,                0.73213,                 1.1018,                0.30853,                0.76674,             0.00042448,             0.00042448,             0.00042448
                     78,                 0.8354,                0.30164,                0.75314,                0.97482,                0.97927,                0.98752,                 0.7349,                 1.1076,                0.30098,                0.76611,             0.00040791,             0.00040791,             0.00040791
                     79,                0.83791,                0.30256,                0.75469,                0.98256,                0.97766,                0.98625,                0.73785,                 1.0974,                0.30061,                 0.7639,             0.00039134,             0.00039134,             0.00039134
                     80,                0.83217,                0.29996,                0.75232,                0.98377,                0.97513,                 0.9863,                0.73831,                  1.091,                0.30176,                0.76545,             0.00037478,             0.00037478,             0.00037478
                     81,                0.82782,                0.29751,                0.75143,                0.98087,                0.97748,                0.98824,                0.73719,                 1.0865,                0.30108,                0.76356,             0.00035821,             0.00035821,             0.00035821
                     82,                0.82774,                0.29906,                 0.7526,                0.98674,                0.97563,                0.98659,                0.73835,                 1.0917,                0.29904,                0.76759,             0.00034164,             0.00034164,             0.00034164
                     83,                0.81678,                0.29516,                0.74983,                0.98356,                0.97766,                0.98665,                0.73871,                 1.0934,                 0.3005,                0.76659,             0.00032507,             0.00032507,             0.00032507
                     84,                 0.8033,                0.29189,                 0.7464,                  0.985,                0.97647,                0.98722,                0.73418,                 1.1016,                0.30233,                0.76959,             0.00030851,             0.00030851,             0.00030851
                     85,                 0.8082,                0.29162,                0.74526,                0.98377,                0.97894,                0.98833,                0.74164,                 1.0857,                0.29839,                0.76289,             0.00029194,             0.00029194,             0.00029194
                     86,                0.80949,                0.29524,                0.74773,                0.98102,                0.97927,                0.98679,                0.73603,                 1.1041,                0.30073,                0.76836,             0.00027537,             0.00027537,             0.00027537
                     87,                 0.8076,                0.29535,                0.74761,                0.98475,                 0.9786,                0.98809,                0.73612,                  1.087,                0.29669,                0.76422,             0.00025881,             0.00025881,             0.00025881
                     88,                0.79282,                0.28789,                0.74409,                0.98328,                0.97849,                0.98665,                0.73649,                 1.1026,                0.30043,                0.76866,             0.00024224,             0.00024224,             0.00024224
                     89,                0.79776,                0.29085,                0.74784,                0.97809,                0.97882,                0.98708,                0.73358,                 1.0994,                0.29927,                0.77013,             0.00022567,             0.00022567,             0.00022567
                     90,                0.79692,                0.29092,                 0.7468,                0.98087,                0.97819,                0.98716,                0.73321,                 1.1034,                0.30195,                0.77208,             0.00020911,             0.00020911,             0.00020911
                     91,                0.68585,                0.23692,                0.69151,                0.98166,                0.97962,                0.98748,                 0.7308,                 1.1005,                0.30243,                0.77194,             0.00019254,             0.00019254,             0.00019254
                     92,                0.67187,                0.23062,                0.68844,                0.98116,                0.98039,                 0.9864,                0.73552,                 1.0942,                0.30073,                 0.7691,             0.00017597,             0.00017597,             0.00017597
                     93,                0.67179,                0.23125,                0.69021,                0.98311,                0.97774,                0.98609,                 0.7345,                 1.1076,                0.30526,                0.77146,              0.0001594,              0.0001594,              0.0001594
                     94,                 0.6567,                0.22586,                0.68527,                0.98365,                 0.9787,                0.98897,                0.73301,                 1.1056,                0.30078,                0.77198,             0.00014284,             0.00014284,             0.00014284
                     95,                0.65424,                 0.2244,                0.68494,                0.98243,                 0.9787,                0.98788,                0.73164,                 1.1099,                0.30111,                 0.7724,             0.00012627,             0.00012627,             0.00012627
                     96,                0.64932,                0.22438,                0.68358,                0.98222,                0.98029,                0.98757,                0.73286,                 1.1107,                0.29939,                0.77462,              0.0001097,              0.0001097,              0.0001097
                     97,                0.64675,                0.22264,                0.68534,                0.97967,                0.98142,                0.98793,                0.73468,                 1.1019,                0.29783,                0.77176,             9.3137e-05,             9.3137e-05,             9.3137e-05
                     98,                0.63897,                0.22187,                0.68314,                0.98247,                0.97962,                 0.9884,                0.73581,                 1.0949,                0.29765,                0.77162,              7.657e-05,              7.657e-05,              7.657e-05
                     99,                0.63826,                0.22103,                0.68106,                0.98129,                 0.9787,                0.98854,                0.73344,                 1.1037,                0.29738,                0.77497,             6.0003e-05,             6.0003e-05,             6.0003e-05
                    100,                0.63566,                0.21934,                0.68314,                0.98238,                 0.9787,                0.98784,                0.73448,                 1.1008,                0.29753,                0.77294,             4.3436e-05,             4.3436e-05,             4.3436e-05
