fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.71636,0.00596,0.0058,0.80277,0.00057,1.58773,0.46084,8.70056,0.43307,1.26985,0.01438,0.83183,0.37201,0.0,0.09084,0.21944,0.0,0.0,0.0,0.40174,0.9128,0.0,0.0
0.73205,0.00633,0.00616,0.85204,0.00052,1.80747,0.5566,8.11027,0.38086,1.2969,0.01415,0.746,0.33778,0.0,0.09718,0.2663,0.0,0.0,0.0,0.35641,1.0,0.0,0.0
0.72319,0.00619,0.00685,0.847,0.00056,1.8266,0.5689,8.42661,0.33237,1.27127,0.01299,0.88569,0.3579,0.0,0.09239,0.35823,0.0,0.0,0.0,0.37907,0.94426,0.0,0.0
0.72543,0.00622,0.00508,0.80774,0.00056,1.8395,0.49625,9.18122,0.39855,1.23346,0.01438,0.9,0.3423,0.0,0.09455,0.31012,0.0,0.0,0.0,0.33754,1.0,0.0,0.0
0.71978,0.00603,0.0056,0.83365,0.00057,1.79954,0.52433,8.67018,0.3842,1.21978,0.0146,0.75995,0.36054,0.0,0.09022,0.30415,0.0,0.0,0.0,0.38751,0.91267,0.0,0.0
0.72631,0.00537,0.00703,0.72685,0.00055,1.27263,0.36716,9.17937,0.49397,1.27665,0.0122,0.75444,0.47086,0.0,0.07824,0.24939,0.0,0.0,0.0,0.36401,0.94559,0.0,0.0
0.72805,0.0062,0.00618,0.80859,0.00056,1.83674,0.52499,8.45512,0.37263,1.18736,0.01436,0.75464,0.37201,0.0,0.0931,0.29861,0.0,0.0,0.0,0.38751,0.92592,0.0,0.0
0.73014,0.00622,0.00636,0.80774,0.00056,1.96845,0.46227,8.45512,0.37275,1.21701,0.01438,0.75444,0.4193,0.0,0.08915,0.32348,0.0,0.0,0.0,0.41328,0.92156,0.0,0.0
0.72623,0.00662,0.00672,0.80989,0.00066,1.67623,0.49274,7.39614,0.39866,1.60014,0.01121,0.72845,0.41727,0.0,0.09228,0.29729,0.0,0.0,0.0,0.27399,0.71218,0.0,0.0
0.72367,0.00647,0.00621,0.81093,0.00056,1.50421,0.50203,6.35821,0.37373,1.18532,0.01512,0.78892,0.37201,0.0,0.10523,0.35333,0.0,0.0,0.0,0.42032,0.97576,0.0,0.0
0.72619,0.00874,0.00634,0.83084,0.00071,1.8395,0.5566,8.42661,0.40365,0.75921,0.01415,0.80684,0.3307,0.0,0.09101,0.38311,0.0,0.0,0.0,0.3477,1.0,0.0,0.0
0.73452,0.00533,0.00618,0.79054,0.00056,2.13169,0.39672,8.7179,0.3375,1.15794,0.0164,0.9,0.3795,0.0,0.103,0.35813,0.0,0.0,0.0,0.38517,0.91106,0.0,0.0
0.73289,0.00609,0.00612,0.81298,0.00055,1.68316,0.54651,8.91324,0.33356,1.23523,0.01382,0.82493,0.33226,0.0,0.0965,0.27914,0.0,0.0,0.0,0.32918,0.94213,0.0,0.0
0.71704,0.00617,0.00765,0.81545,0.00039,2.19767,0.44231,8.72319,0.36015,1.20343,0.01339,0.88407,0.32073,0.0,0.10872,0.35744,0.0,0.0,0.0,0.35641,0.84288,0.0,0.0
0.73086,0.006,0.00636,0.83622,0.00043,1.71612,0.45208,8.45512,0.38357,1.2979,0.01428,0.81842,0.32874,0.0,0.07125,0.29729,0.0,0.0,0.0,0.41075,1.0,0.0,0.0
0.72539,0.00688,0.00868,0.83895,0.00055,2.27182,0.59321,8.97264,0.34312,1.18532,0.01384,0.81319,0.28654,0.0,0.10189,0.32998,0.0,0.0,0.0,0.42274,0.84939,0.0,0.0
0.72915,0.00684,0.00634,0.75056,0.00051,1.62638,0.5566,7.17596,0.36207,1.32418,0.01437,0.75013,0.34071,0.0,0.09448,0.2758,0.0,0.0,0.0,0.37066,0.57441,0.0,0.0
0.73479,0.00404,0.00592,0.78692,0.00039,1.69518,0.52433,9.04147,0.30776,1.31865,0.01438,0.88443,0.41077,0.0,0.08863,0.28163,0.0,0.0,0.0,0.48423,0.8447,0.0,0.0
0.72492,0.00622,0.00567,0.79215,0.0006,1.83218,0.49899,9.67685,0.399,1.25823,0.01466,0.79507,0.4384,0.0,0.08683,0.30862,0.0,0.0,0.0,0.40412,1.0,0.0,0.0
